location_city,location_name,location_street_address,location_street_address_2,location_state,location_zip_code,region,logged_at
Lake Forest,Pep Boys - Lake Forest Reinspection,22671 Lake Forest Dr,,CA,92630,OCX,2017-11-29 21:31:34
Bloomington,Bobby & Steve's - France (NO LYFT REP.),7920 France Ave. S.,,MN,55435,MSP,2017-08-24 16:48:25
Denver,Concentra UrgentCare North Denver,420 E. 58th Ave,,CO,80216,DEN,2017-07-07 17:40:32
Wheat Ridge,Pep Boys - Wheat Ridge,7525 W. 44th Ave,,CO,80033,DEN,2017-07-07 21:51:46
Yuba City,Jiffy Lube - Bridge St.,1331 Bridge St,,CA,95993,YAS,2016-12-15 21:47:56
Tucson,Pep Boys Tucson - S 6th Ave,1300 S 6th Ave,,AZ,85713,TUS,2017-11-29 21:31:24
Fresno,Pep Boys - North West Fresno,4490 W Shaw Ave,,CA,93722,FAT,2017-11-29 21:31:18
Galt,Jiffy Lube - Galt,10340 Twin Cities Rd,,CA,95632,SCK,2017-11-29 21:31:11
Grand Rapids,Banka's Auto Repair,O-14072 Ironwood Dr NW,,MI,49534,GRR,2017-11-29 21:31:18
Flagstaff,Big O Tires Flagstaff - Walgreen Blvd,2469 N Walgreen Blvd,,AZ,86004,FLG,2017-11-29 21:31:11
Denver,Denver/RiNo Forney Transportation Museum,4303 Brighton Blvd,,CO,80216,DEN,2017-11-29 21:31:18
Ann Arbor,Lou's Wolverine Transmission,1904 Packard Rd,,MI,48104,ARB,2017-11-29 21:31:23
Bloomington,Bobby & Steve's - West Bloomington (NO LYFT REP.),10740 Normandale Blvd,,MN,55437,MSP,2017-11-29 21:31:25
Atascadero,Jiffy Lube - Atascadero,7760 El Camino Real,,CA,93422,SBP,2017-11-29 21:31:27
Lodi,Pep Boys - Lodi,1401 S Cherokee Ln.,,CA,95240,SCK,2017-11-29 21:31:17
NORTH CHARLESTON,National Tire & Battery North Charleston - Sunset Blvd,8421 DORCHESTER ROAD,,SC,29420,CHS,2017-08-03 22:55:12
Alexandria,Wiygul Automotive - 310 S Pickett St Alexandria,310 S. Pickett St.,,VA,22304,DCA,2017-04-12 19:04:23
Merced,Pep Boys Merced,1207 W Main St,,CA,95340,MCE,2017-03-27 22:52:55
El Cajon,Pep Boys Jamacha,201 Jamacha Rd,,CA,92109,SAN,2017-10-20 18:15:52
Little River,National Tire & Battery Little River - Pine Dr,4295 PINE DRIVE,,SC,29566,MYR,2017-11-29 21:31:24
Long Island City,Lyft Queens,31-00 47th Ave,,NY,11101,BKN,2017-11-29 21:31:19
Laurel,Pep Boys (Laurel),13344 Laurel Bowie Rd,,MD,20708,BWI,2017-11-29 21:31:18
Flagstaff,Big O Tires Flagstaff - W Rte 66,1051 W Rte 66,,AZ,86001,FLG,2017-11-29 21:31:30
HILMAR,TECHNET Hilmar - Tire & Wheel Center Hilmar,8354 LANDER AVE,,CA,95324,MCE,2017-11-29 21:31:24
Antioch,Antioch - Midas,1200 Auto Center Dr,,CA,94509,SFO,2017-11-29 21:31:26
Miami,Doug's Automotive Repair Inc.,8800 SW 129th Street,,FL,33176,MIA,2017-11-29 21:31:09
Grand Rapids,Meekhof Tire,1640 Olson St NE,,MI,49503,GRR,2017-11-29 21:31:17
Forest Park,Pep Boys - Forest Park,25 South Harlem Ave,,IL,60130,CHI,2017-11-29 21:31:34
Lake Havasu City,Tri-Tech Auto,501 N Lake Havasu Ste 102,,AZ,86403,LAB,2017-11-29 21:31:11
Merced,Pep Boys - Merced,1207 W Main St,,CA,95340,MCE,2017-11-29 21:31:29
Union City,Pep Boys Union City (Park in the Lyft Parking Area Between the Cones and Meet Us Inside),30085 Industrial Parkway SW,,CA,94587,SFO,2017-01-23 23:54:44
Tucson,Pep Boys Tucson,4491 E Speedway Blvd,,AZ,85712,TUS,2017-01-11 22:03:55
Thornton,Holiday Inn Express & Suites - North Denver/Thornton,12030 Grant Street,,CO,80241,DEN,2017-12-01 20:45:05
Chandler,Pep Boys - Chandler,1266 Chandler Blvd,,AZ,85224,PHX,2017-11-29 21:31:21
Downey,Pep Boys -- Lakewood,10231 Lakewood Blvd,,CA,90241,LAX,2017-11-29 21:31:34
El Cajon,Pep Boys EC,201 Jamacha Rd,,CA,92109,SAN,2017-11-29 21:31:32
Laurel,Pep Boys - Laurel,13344 Laurel Bowie Rd,,MD,20708,DCA,2017-11-29 21:31:22
St. Petersburg,The Tire Choice (formerly McGee Auto Service & Tires),456 Dr MLK Jr St N,,FL,33705,TPA,2017-11-29 21:31:17
Indio,Pep Boys - Indio,81-246 CA-111,,CA,92201,SBD,2017-11-29 21:31:29
Antelope,Antelope - Firestone,4325 Elverta Rd,,CA,95843,SMF,2017-11-29 21:31:17
MYRTLE BEACH,National Tire & Battery Myrtle Beach - Hwy 501,2075 HIGHWAY 501,,SC,29577,MYR,2017-11-29 21:31:23
Fresno,Pep Boys - Blackstone Ave,3655 N Blackstone Ave,,CA,93726,FAT,2017-11-29 21:31:13
Chicago Ridge,Pep Boys - Chicago Ridge,10100 S Ridgeland Ave,,IL,60415,CHI,2017-11-29 21:31:34
Boulder,Concentra Boulder,3300 28th St,,CO,80301,DEN,2017-11-29 21:31:15
Baltimore,Lyft BWI Office,1501 St. Paul St.,,MD,21202,BWI,2017-11-29 21:31:26
Columbia,AAMCO Columbia - Broad River Rd,2428 Broad River Road,,SC,29210,CAE,2017-11-29 21:31:23
Napa,Les Schwab Tire Center,830 W Imola Ave,,CA,94559,STS,2017-11-29 21:31:09
Ypsilanti,Advanced Auto Parts,3360 Carpenter Road,,MI,48197,ARB,2017-11-29 21:31:14
Thatcher,Wayne's Pit Stop Auto Repair,3829 W Main St,,AZ,85552,EAZ,2017-11-29 21:31:25
Clearlake,Big O Tires - Clearlake,15195 Lakeshore Dr,,CA,95422,YAS,2017-11-29 21:31:20
Stockton,Pep Boys -- Stockton,4987 N W Ln,,CA,95210,MOD,2017-04-18 15:21:19
Santa Rosa,Firestone - Santa Rosa,2730 Santa Rosa Ave,,CA,95407,STS,2017-06-27 00:44:16
Denver,Denver Field House,1600 Federal Blvd,,CO,80204,DEN,2017-11-29 21:31:11
Philadelphia,Pep Boys - Stenton Ave,6200 Stenton Ave,,PA,19138,PHI,2017-11-29 21:31:24
Stockton,Pep Boys - South Stockton,845 Dr M.L.K. Jr Blvd,,CA,95206,SCK,2017-11-29 21:31:31
Pullman,Jiffy Lube,700 SE Bishop Blvd,,WA,99163,PUW,2017-11-29 21:31:31
Pullman,Jerry's Auto Repair,1260 S Grand Ave,,WA,99163,PUW,2017-11-29 21:31:31
SUMMERVILLE,National Tire & Battery Summerville - Angus Dr,103 ANGUS DRIVE,,SC,29483,CHS,2017-11-29 21:31:25
Huntington Park,Pep Boys - Randolph St,2671 Randolph St,,CA,90255,LAX,2017-11-29 21:31:30
Pine Bluff,Harold Pointer Auto Service,3417 S Camden Rd,,AR,71603,LIT,2017-11-29 21:31:15
FLINT,SHELTON'S SERVICE CENTER,921 UNIVERSITY AVE,,MI,48504,FNT,2017-07-27 21:26:48
Beverly,Pep Boys - Beverly / Edgewater Park NJ,2176 Rte 130,,NJ,8046,NYC,2017-02-02 18:10:17
Cerritos,Pep Boys - Cerritos,11944 South St,,CA,90703,OCX,2017-12-04 04:49:08
Decatur,National Tire & Battery Decatur - Beltline Rd,902 Beltline Rd.,,AL,35601,HSV,2017-11-29 21:31:15
Tampa,Meineke Car Care Center - Dale Mabry,6850 N Dale Mabry Hwy,,FL,33614,TPA,2017-11-29 21:31:11
Flint,Tuffy Service Center,3045 Miller Rd,,MI,48507,FNT,2017-11-29 21:31:22
Jonesboro,Firestone Complete Auto Care,2106 Wilkins Ave,,AR,72401,XNA,2017-11-29 21:31:31
St Paul,Victory Auto Service & Glass Maplewood,2128 Rice St,,MN,55113,MSP,2017-11-29 21:31:21
Chicago,Pep Boys Elston,2604 N Elston Avenue,,IL,60647,CHI,2017-11-29 21:31:11
Avon,Christie Lodge,47 E Beaver Creek Blvd,,CO,81620,VBC,2017-11-29 21:31:23
Modesto,Big O Tires - Modesto,4237 McHenry Ave,,CA,95356,MOD,2017-11-29 21:31:25
Merced,Midas - Merced,1440 V St,,CA,95340,MCE,2017-11-29 21:31:17
Ann Arbor,Belle Tire (Ann Arbor - Washtenaw Ave.),3501 Washtenaw Avenue,,MI,48104,ARB,2017-11-29 21:31:14
Atwater,Jiffy Lube - Atwater,2679 First St,,CA,95301,MCE,2017-06-27 00:43:48
Peoria,Pep Boys - Peoria,7440 W Peoria Ave,,AZ,85345,PHX,2017-11-29 21:31:20
Batavia,Pep Boys - Batavia,837 N Randall Rd,,IL,60510,CHI,2017-11-29 21:31:28
Lansing,Randall Automotive,3615 S Martin Luther King Jr Blvd,,MI,48910,LAN,2017-11-29 21:31:23
Carson,Pep Boys - Dominguez St,810 E Dominguez St,,CA,90746,LAX,2017-11-29 21:31:31
San Francisco,Jiffy Lube - Van Ness Ave,2030 Van Ness Ave,,CA,94109,SFO,2017-11-29 21:31:30
Paradise,Jiffy Lube - Paradise,6081 Clark Rd,,CA,95969,CIC,2017-11-29 21:31:09
Duluth,ProSource Auto,332 W 4th St,,MN,55806,DLH,2017-11-29 21:31:14
Santa Fe,Pep Boys - Santa Fe,2710 Cerrillos Rd,,NM,87507,TAO,2017-11-29 21:31:21
Albuquerque,AAMCO Albuquerque - Lomas Blvd,6629 Lomas Boulevard NE,,NM,87110,ABQ,2017-11-29 21:31:14
Fresno,Fresno - Pep Boys (Downtown Fresno),716 Broadway St,,CA,93721,FAT,2017-11-29 21:31:27
Santa Cruz,Firestone - Santa Cruz,510 Water St,,CA,95060,CRZ,2017-11-29 21:31:13
Thousand Oaks,Pep Boys - Thousand Oaks,2099 Thousand Oaks Blvd,,CA,91362,OXR,2017-11-29 21:31:21
Cicero,Pep Boys Cicero (New),2501 S Cicero Ave,,IL,60804,CHI,2017-11-29 21:31:25
BIRMINGHAM,National Tire & Battery Birmingham - Galleria Cir,3420 GALLERIA CIRCLE,,AL,35244,BHM,2017-11-29 21:31:33
Fort Collins,Hilton Ft. Collins,425 W Prospect Rd,,CO,80526,FNL,2017-11-29 21:31:25
Scio,Belle Tire (Scio),4049 Jackson Road,,MI,48103,ARB,2017-11-29 21:31:10
Santa Rosa,Lyft onboarding parking lot,3311 Santa Rosa Ave,,CA,95407,STS,2017-11-29 21:31:08
TURLOCK,TECHNET Turlock - Countryside Tire & Brake,1620 COUNTRYSIDE LN,,CA,95380,MOD,2017-11-29 21:31:33
Ventura,Pep Boys - Ventura,2705 E Thompson Blvd,,CA,93003,OXR,2017-11-29 21:31:21
PHOENIX,Discount Tire - Phoenix,707 E CAREFREE HWY,,AZ,85085,PHX,2017-11-29 21:31:20
Las Cruces,AAMCO Las Cruces - W Piacho Ave,1885 West Picacho Ave,,NM,88005,LRU,2017-11-29 21:31:22
Birmingham,National Tire & Battery Birmingham - W Oxmoor Rd,130 WEST OXMOOR ROAD,,AL,35209,BHM,2017-11-29 21:31:30
Chicago,Pep Boys - Western Ave,5959 S Western Ave,,IL,60636,CHI,2017-11-29 21:31:28
San Jose,Pep Boys - Steven's Creek,3780 Stevens Creek Blvd,,CA,95117,SJC,2017-11-29 21:31:15
Elk Grove,Elk Grove - Big O Tires,8022 Orchard Loop Ln,,CA,95624,SMF,2017-11-29 21:31:27
Concord,AAMCO of Concord,8600 Keele Street,,ON,L4K 4H8,YYZ,2017-11-29 21:31:33
Stockton,Jiffy Lube (E Hammer Ln) - Stockton,1648 E Hammer Ln,,CA,95210,SCK,2017-05-11 00:01:02
Clovis,PepBoys - Clovis,693 W Shaw Ave,,CA,93612,FAT,2017-02-02 02:05:23
Portland,Lyft Office,2712 N Mississippi Ave,,OR,97227,PDX,2017-09-07 15:55:24
Ouray,Ouray Victorian Inn,50 Third Ave,,CO,81427,TEL,2017-11-29 21:31:08
Goodyear,Discount Tire - Goodyear,13213 W McDowell Rd,,AZ,85338,PHX,2017-11-29 21:31:19
Bloomington,AAMCO Bloomington - S Main St,321 South Main Street,,IL,61701,BMI,2017-11-29 21:31:10
Page,B&B Auto Repair,809 Aqua Ave,,AZ,86040,NAZ,2017-11-29 21:31:26
Los Angeles,Pep Boys - Atlantic Blvd,256 S Atlantic Blvd,,CA,90022,LAX,2017-11-29 21:31:30
Columbia,National Tire & Battery Columbia - Two Notch Rd,10180 TWO NOTCH RD,,SC,29229,CAE,2017-11-29 21:31:25
Marquette,Joe' Automotive Repair,630 South Lake Street,,MI,49855,MQT,2017-11-29 21:31:25
COLUMBIA,National Tire & Battery Columbia - Andrews Rd,640 ST. ANDREWS ROAD,,SC,29210,CAE,2017-11-29 21:31:34
Seaside,Meineke - Seaside,1925 Del Monte Blvd,,CA,93955,MRY,2017-11-29 21:31:14
Lombard,Pep Boys - Lombard,851 E Roosevelt Rd,,IL,60148,CHI,2017-11-29 21:31:28
Tucson,Pep Boys Tucson - N Oracle Rd,3783 N Oracle Rd,,AZ,85705,TUS,2017-11-29 21:31:24
MURRELLS INLET,National Tire & Battery Murrells Inlet - Hwy 17 S,3419 HWY 17 S,,SC,29576,MYR,2017-11-29 21:31:32
Hopkins,Meineke Hopkins,10500 Excelsior Blvd,,MN,55343,MSP,2017-12-04 17:33:49
Minneapolis,Bobby & Steve's - West Minneapolis (NO LYFT REP.),328 South Cedar Lake Rd,,MN,55405,MSP,2017-11-29 21:31:25
Tucson,Pep Boys Tucson - E Speedway Blvd,4491 E Speedway Blvd,,AZ,85712,TUS,2017-11-29 21:31:30
Birmingham,AAMCO Birmingham - 6th Ave,2610 6th Avenue S,,AL,35233,BHM,2017-11-29 21:31:22
Pueblo,Car Doctor,2905 Hart Rd,,CO,81003,PUB,2017-11-29 21:31:26
Waukegan,Pep Boys - Waukegan,620 N Green Bay Rd,,IL,60085,CHI,2017-11-29 21:31:31
Minneapolis,Bobby & Steve's - Nicollet (NO LYFT REP.),5801 Nicollet Ave. S.,,MN,55419,MSP,2017-08-24 16:31:58
Riverdale,Lyft at Elks - Landover Hills,6700 Kenilworth Ave,,MD,20737,DCA,2017-03-23 15:30:04
Pleasant Hill,Pep Boys (Rear Parking Lot),520 Contra Costa Blvd,,CA,94523,SFO,2017-01-20 22:43:10
Lexington,Quality Car Sales and Services LLC,656 Two Notch Rd.,,SC,29073,CAE,2017-07-27 21:12:25
Fort Collins,Community Automotive Center,1925 S Timberline Rd,,CO,80525,FNL,2017-07-27 18:15:37
Tallahassee,Pep Boys - Apalachee Parkway,2353 Apalachee Parkway,,FL,32301,TLH,2017-02-01 20:54:38
Grand Island,Gary's Quality Automotive,3703 W Old Potash Hwy,,NE,68803,WNE,2017-11-29 21:31:26
Redding,Big O Tires,377 E Cypress Ave,,CA,96002,RDD,2017-11-29 21:31:07
Clovis,Jiffy Lube - Clovis,240 W Ashlan Ave,,CA,93612,FAT,2017-11-29 21:31:15
Scottsdale,Pep Boys - Scottsdale,2524 N Scottsdale Rd,,AZ,85257,PHX,2017-11-29 21:31:25
Absecon,Pep Boys - Absecon NJ,609 White Horse Pike,,NJ,8201,NYC,2017-11-29 21:31:12
Stockton,Jiffy Lube - Stockton (North West Ln),4715 N W Ln,,CA,95210,SCK,2017-11-29 21:31:23
Traverse City,Dave's Garage,911 Hastings St,,MI,49686,TVC,2017-11-29 21:31:28
Spokane,AAMCO Spokane - E Sprague Ave,14609 East Sprague Avenue,,WA,99216,GEG,2017-11-29 21:31:22
Tampa,Meineke - N Dale Mabry Hwy,6850 N Dale Mabry Hwy,,FL,33614,TPA,2017-11-29 21:31:17
Fort Collins,TECHNET Fort Collins - ASR Automotive Service and Repair,309 S Link Lane,,CO,80524,FNL,2017-11-29 21:31:24
Flagstaff,AAMCO  N. West St,2608 N. West Street,,AZ,86004,FLG,2017-11-29 21:31:29
Naperville,Pep Boys - Naperville,2936 Ogden Ave,,IL,60540,CHI,2017-11-29 21:31:27
Castle Rock,Douglas County Event Center - Kirk Hall,500 Fairgrounds Rd,,CO,80104,DEN,2017-11-29 21:31:16
Daly City,Daly City - Firestone Complete Auto Care,4 Serramonte Center,,CA,94015,SFO,2017-11-29 21:31:27
Tucson,Pep Boys Tucson - N Oracle Rd.,3783 N Oracle Rd,,AZ,85705,TUS,2017-07-25 20:14:19
Las Cruces,AAMCO Las Cruces - W Piacho,1885 West Picacho,,NM,88005,LRU,2017-07-26 17:56:34
Monterey,Jiffy Lube (Fremont St),2415 Fremont St,,CA,93940,MRY,2017-05-10 22:16:32
Beverly,Pep Boys - Edgewater Park,2176 US-130,,NJ,8046,NYC,2017-01-26 23:26:03
Chula Vista,Pep Boys - Chula Vista,1000 Tierra Del Rey,,CA,91910,SAN,2017-10-20 18:11:28
Lake Forest,Pep Boys - Lake Forest,22671 Lake Forest Dr,,CA,92630,OCX,2017-12-04 04:49:37
BEAUFORT,National Tire & Battery Beaufort - Paris Island Gateway,118 PARRIS ISLAND GATEWAY,,SC,29906,CHS,2017-11-29 21:31:30
Temecula,Pep Boys - Temecula,40605 Winchester Rd,,CA,92591,SBD,2017-11-29 21:31:34
El Cerrito,El Cerrito - Midas,10903 San Pablo Ave,,CA,94530,SFO,2017-11-29 21:31:27
Monterey,T & T Auto Repair,117 Fairground Rd,,CA,93940,MRY,2017-11-29 21:31:08
Petaluma,Big O Tires - Petaluma,516 E Washington St,,CA,94952,STS,2017-11-29 21:31:20
Skokie,Pep Boys - Skokie,5220 Touhy Ave,,IL,60077,CHI,2017-11-29 21:31:29
Stockton,Jiffy Lube - Stockton,1648 E Hammer Ln,,CA,95210,SCK,2017-05-11 23:46:06
Portland,Point S - Sandy Blvd.,12030 NE Sandy Blvd,,OR,97220,PDX,2017-12-05 05:59:28
San Luis Obispo,Dave's Automotive,847 Ricardo Ct,,CA,93401,SBP,2017-11-29 21:31:10
Colorado Springs,Goodyear,3610 Austin Bluffs Parkway,,CO,80918,COS,2017-11-29 21:31:24
Colorado Springs,Pep Boys Colorado Springs,7625 N Academy Blvd,,CO,80920,LAA,2017-11-29 21:31:15
Berkeley,Berkeley - Midas,1835 San Pablo Ave,,CA,94703,SFO,2017-11-29 21:31:26
Miami,Advanced Auto Diagnostics II,1779 W Flagler St,,FL,33135,MIA,2017-11-29 21:31:21
Truckee,Advanced Body & Frame - Truckee,10745 W River St,,CA,96161,TVL,2017-11-29 21:31:19
Greeley,AAMCO Greeley - 29th St,2445 29th Street,,CO,80631,FNL,2017-11-29 21:31:23
South Lake Tahoe,Welcome's Autobody & Towing,1772 D St,,CA,96150,TVL,2017-11-29 21:31:17
Woodland,Big O Tires - Woodland,220 W Main St,,CA,95695,SMF,2017-11-29 21:31:26
Hanover,Lyft Baltimore Office,1341 Ashton Rd,,MD,21076,BWI,2017-11-29 21:31:15
Seaside,Midas - Seaside,1543 Del Monte Blvd,,CA,93955,MRY,2017-11-29 21:31:18
Sacramento,Davis Tire Pros,1513 5th St Davis,,CA,95616,SMF,2017-11-29 21:31:27
NORTH CHARLESTON,National Tire & Battery North Charleston - Dorchester Rd,8421 DORCHESTER ROAD,,SC,29420,CHS,2017-11-29 21:31:26
Antioch,Antioch - Wheel Works +1 925-238-7836,2024 A St,,CA,94509,SCK,2017-09-06 22:58:24
Denver,Highlands Masonic Event Center,3550 Federal Blvd,,CO,80211,DEN,2017-11-29 21:31:18
Monterey,Mike's Auto,1101 Airport Road,,CA,93940,MRY,2017-11-29 21:31:10
Fort Smith,Hector's Auto Repair,2110 N O St.,,AR,72901,XNA,2017-11-29 21:31:30
CHARLESTON,National Tire & Battery Charleston - Northwoods Blvd,2161 NORTHWOODS BLVD,,SC,29406,CHS,2017-11-29 21:31:30
Lauderhill,Sunrise Starter And Alternator,7527 W Oakland Park Blvd,,FL,33319,MIA,2017-11-29 21:31:20
Citrus Heights,Citrus Heights - Firestone (Greenback),7895 Greenback Ln,,CA,95610,SMF,2017-11-29 21:31:26
Albuquerque,AAMCO Albuquerque - Caminito Coors NW,6632 Caminito Coors NW,,NM,87120,ABQ,2017-11-29 21:31:21
Saginaw,Enszers,401 N Hamilton St,,MI,48602,MBS,2017-11-29 21:31:18
Myrtle Beach,Meineke - Dick Pond Rd,2351 Dick Pond Rd,,SC,29575,MYR,2017-11-29 21:31:19
Santa Cruz,Santa Cruz Motorsports,211 Cedar Street,,CA,95060,CRZ,2017-11-29 21:31:09
Philadelphia,Pep Boys - Columbus Blvd,1000 S Christopher Columbus Blvd,,PA,19147,PHI,2017-11-29 21:31:17
Ann Arbor,Goodyear Auto Service - Ann Arbor,2260 West Stadium Boulevard,,MI,48103,ARB,2017-11-29 21:31:16
Lake Havasu,N. Lake Havasu Ave,669 North Lake Havasu Avenue,,AZ,86403,LAB,2017-11-29 21:31:14
Phoenix,Pep Boys - Phoenix,5126 N. 7Th St,,AZ,85014,PHX,2017-11-29 21:31:21
Bensalem,Pep Boys - Street Road,1748 Street Road,,PA,19020,PHI,2017-11-29 21:31:12
San Diego,Lyft Hot Spot Activity Rd,8999 Activity Rd,,CA,92126,SAN,2017-11-29 21:31:31
Oakhurst,Pep Boys - Oakhurst NJ (Ocean Township),1608 NJ-35,,NJ,7755,NYC,2017-11-29 21:31:13
Absecon,Pep Boys - Absecon,609 White Horse Pike,,NJ,8201,NYC,2017-01-26 23:11:06
Fairfax,Lyft at Kena Shriners,9001 Arlington Blvd,,VA,22031,DCA,2017-02-14 20:19:54
Miami,Doug's Automotive Repair Service,8800 SW 129th Street,,FL,33176,MIA,2016-11-22 00:04:43
Minneapolis,Meineke Brooklyn Park,8088 Brooklyn Blvd,,MN,55445,MSP,2017-12-01 15:18:50
South Lake Tahoe,Lyft Hotspot - Lakeshore Lodge,930 Balbijou Road,,CA,96150,TVL,2017-11-29 21:31:16
Chanhassen,Victory Auto Service & Glass Chanhassen,64 Lake Drive East,,MN,55317,MSP,2017-11-29 21:31:09
Melrose Park,Pep Boys - Melrose Park,2600 W North Ave,,IL,60160,CHI,2017-11-29 21:31:34
Tampa,Pep Boys - North Florida Ave.,10124 N Florida Ave,,FL,33612,TPA,2017-11-29 21:31:11
Bloomington,Bobby & Steve's - Bloomington (NO LYFT REP.),7920 France Ave. S.,,MN,55435,MSP,2017-11-29 21:31:25
Chicago,Irish American Heritage Center,4626 N Knox Ave,,IL,60630,CHI,2017-11-29 21:31:12
Fresno,Pep Boys - Kings Canyon Rd,5615 E Kings Canyon Rd,,CA,93727,FAT,2017-11-29 21:31:18
Hancock,Lakeside Auto,20625 Royce Rd,,MI,49930,MQT,2017-11-29 21:31:25
Hayward,Hayward - Wheel Works,1957 W Winton Ave,,CA,94545,SFO,2017-11-29 21:31:33
Portage,Pep Boys - Portage,5630 S Westnedge Ave,,MI,49002,AZO,2017-11-29 21:31:24
Miami,Precise Auto Service,12320 SW 117th Ct,,FL,33186,MIA,2017-11-29 21:31:15
Livermore,Livermore - Wheel Works,2868 Las Positas Rd,,CA,94551,SFO,2017-11-29 21:31:27
Greeley,Greeley,2445 29th Street,,CO,80631,FNL,2017-07-26 18:32:44
Albuquerque,AAMCO Albuquerque -,6629 Lomas Boulevard NE,,NM,87110,ABQ,2017-07-26 18:13:52
Ypsilanti,Belle Tire Ypsilanti,3250 Carpenter Road,,MI,48197,ARB,2017-04-13 17:34:01
Alhambra,YM Alhambra,1000 South Fremont Avenue,,CA,91803,LAX,2017-02-01 20:28:11
Chicago,Pep Boys - Milwaukee Ave,4164 N Milwaukee Ave,,IL,60641,CHI,2017-11-29 21:31:28
Grand Rapids,Mason Street Garage,1302 Mason St NE,,MI,49503,GRR,2017-11-29 21:31:22
Concord,Concord - Midas,2525 Monument Blvd,,CA,94520,SFO,2017-11-29 21:31:27
Arbuckle,Arbuckle Service Center,401 Olive St Arbuckle CA 95912,,CA,95912,YAS,2017-11-29 21:31:20
Long Beach,Long Beach,4645 Pacific Coast Hwy,,CA,90804,OCX,2017-11-29 21:31:31
Lodi,Lakewood Auto Repair,201 N Sacramento,,CA,95240,SCK,2017-11-29 21:31:34
Berwyn,Pep Boys - Berwyn,6631 Ogden Ave,,IL,60402,CHI,2017-11-29 21:31:34
El Dorado Hills,El Dorado Hills - Big O Tires,4640 Post St,,CA,95762,SMF,2017-11-29 21:31:27
Bishop,Warren's Auto Repair,156 Short St,,CA,93514,ECA,2017-11-29 21:31:25
Fresno,Jiffy Lube - Fresno (Spruce Ave),5316 W Spruce Ave,,CA,93722,FAT,2017-11-29 21:31:24
San Diego,Pep Boys - San Diego,3550 El Cajon Blvd,,CA,92104,SAN,2017-10-10 22:28:03
Inver Grove Heights,Pep Boys - Inver Grove Heights,1426 Mendota Rd E,,MN,55077,MSP,2017-12-04 00:23:59
Portland,PDX HUB 2,2712 N Mississippi Ave,,OR,97227,PDX,2017-11-30 19:41:08
Bakersfield,Pep Boys in Stockdale Town Center,4605 Planz Rd,,CA,93309,BFL,2017-11-29 21:31:21
King of Prussia,Pep Boys - E Dekalb Pike: King of Prussia,214 E Dekalb Pike,,PA,19406,PHI,2017-11-29 21:31:16
Lake Worth,Speedy Car Repairs - Lake Worth,2745 Lake Worth Road,,FL,33461,,2017-11-29 21:31:17
El Dorado Hills,El Dorado Hills - Firestone,390 Green Valley Rd,,CA,95762,SMF,2017-11-29 21:31:28
Birmingham,Pep Boys Birmingham,1566 Montclair Road,,AL,35213,BHM,2017-11-29 21:31:22
Carmichael,Carmichael - Midas,6840 Fair Oaks Blvd,,CA,95608,SMF,2017-11-29 21:31:26
Spokane,AAMCO Spokane - E Francis Ave,628 East Francis Avenue,,WA,99208,GEG,2017-11-29 21:31:24
Mammoth Lakes,Alpine Garage,47 Center St,,CA,93546,ECA,2017-11-29 21:31:25
Wheaton,GF Auto Repair,1800 North Main St,,IL,60187,CHI,2017-11-29 21:31:34
Tallahassee,Pep Boys - 2984 Apalachee Parkway,2984 Apalachee Parkway,,FL,32301,TLH,2017-11-29 21:31:20
SCOTTSDALE,Discount Tire - Scottsdale,8799 E FRANK LLOYD WRIGHT BLVD,,AZ,85260,PHX,2017-11-29 21:31:19
Saginaw,Dex-Tech Auto Ctr,2958 Bay Rd,,MI,48603,MBS,2017-11-29 21:31:22
Eureka,Leon's Car Care Center,929 Broadway St,,CA,95501,ACV,2017-11-29 21:31:10
South Lake Tahoe,Eloise Automotive Alignment,2143 Eloise Ave,,CA,96150,TVL,2017-11-29 21:31:12
Oakhurst,Pep Boys - Ocean Township,1608 NJ-35,,NJ,7755,NYC,2017-11-29 21:31:12
San Diego,Lyft Hotspot Miramar,8999 Activity Rd,,CA,92126,SAN,2017-11-29 21:31:11
Reno,Lyft Activation Center,634 Ryland St,,NV,89502,ENV,2017-12-05 02:18:55
Aurora,Concentra UrgentCare Chambers Rd.,3449 Chambers Rd b,,CO,80011,DEN,2017-06-27 23:46:34
Rialto,Pep Boys - Rialto,505 E Foothill Blvd,,CA,92376,SBD,2017-12-04 04:48:08
Lansing,Shaheen Chevrolet,632 American Rd,,MI,48911,LAN,2017-11-29 21:31:16
El Centro,Pep Boys El Centro,902 N Imperial Ave,,CA,92243,IPL,2017-11-29 21:31:09
Monterey,Jiffy Lube - Monterey,2415 Fremont St,,CA,93940,MRY,2017-11-29 21:31:20
Conway,AAMCO Myrtle Beach - 16th Ave,1300 16th Avenue,,SC,29526,MYR,2017-11-29 21:31:25
Cathedral City,Pep Boys - Cathedral City Reinspection,31-505 Date Palm Dr,,CA,92234,SBD,2017-11-29 21:31:28
Manteca,Meineke - Manteca,185 S Union Rd,,CA,95337,SCK,2017-11-29 21:31:30
Tracy,Les Schwab Tire Center - Tracy,3260 W Grant Line Rd,,CA,95304,MOD,2017-11-29 21:31:24
Roswell,The Driveway Mechanic,1006 N Garden Ave,,NM,88201,ROW,2017-11-29 21:31:25
Chicago,Pep Boys - Grand Ave,6811 W Grand Ave,,IL,60707,CHI,2017-11-29 21:31:34
